"ฤฟฑ๊ฝฺตใ","ฤฟฑ๊ฝฺตใฯตอณภเะอ","ฤฟฑ๊ฝฺตใฮปบลร๛","ิดฝฺตใ","ิดฝฺตใภเะอ","ิดฝฺตใฮปบลร๛","ื้","สýพÝม๗ฯ๒","ร่ส๖","นซสฝ"
"FCS0092","VF","2110FI110101","OTS","VxOTS","FI110101.PV","AI","ะด","",""
"FCS0092","VF","2110FI110102","OTS","VxOTS","FI110102.PV","AI","ะด","",""
"FCS0092","VF","2110FI110103","OTS","VxOTS","FI110103.PV","AI","ะด","",""
"FCS0092","VF","2110FI110203","OTS","VxOTS","FI110203.PV","AI","ะด","",""
"FCS0092","VF","2110FI110205","OTS","VxOTS","FI110205.PV","AI","ะด","",""
"FCS0092","VF","2110FI110206","OTS","VxOTS","FI110206.PV","AI","ะด","",""
"FCS0092","VF","2110FI110301","OTS","VxOTS","FI110301.PV","AI","ะด","",""
"FCS0092","VF","2110FI110302","OTS","VxOTS","FI110302.PV","AI","ะด","",""
"FCS0092","VF","2110FI110304A","OTS","VxOTS","FI110304A.PV","AI","ะด","",""
"FCS0092","VF","2110FI110304B","OTS","VxOTS","FI110304B.PV","AI","ะด","",""
"FCS0092","VF","2110FI110305","OTS","VxOTS","FI110305.PV","AI","ะด","",""
"FCS0092","VF","2110FI110401","OTS","VxOTS","FI110401.PV","AI","ะด","",""
"FCS0092","VF","2110FI110403","OTS","VxOTS","FI110403.PV","AI","ะด","",""
"FCS0092","VF","2110FI110404A","OTS","VxOTS","FI110404A.PV","AI","ะด","",""
"FCS0092","VF","2110FI110404B","OTS","VxOTS","FI110404B.PV","AI","ะด","",""
"FCS0092","VF","2110FI110404C","OTS","VxOTS","FI110404C.PV","AI","ะด","",""
"FCS0092","VF","2110FI110405","OTS","VxOTS","FI110405.PV","AI","ะด","",""
"FCS0092","VF","2110FI110501","OTS","VxOTS","FI110501.PV","AI","ะด","",""
"FCS0092","VF","2110FI110503","OTS","VxOTS","FI110503.PV","AI","ะด","",""
"FCS0092","VF","2110FI110601","OTS","VxOTS","FI110601.PV","AI","ะด","",""
"FCS0092","VF","2110FI110603","OTS","VxOTS","FI110603.PV","AI","ะด","",""
"FCS0092","VF","2110FI110701","OTS","VxOTS","FI110701.PV","AI","ะด","",""
"FCS0092","VF","2110FI110703","OTS","VxOTS","FI110703.PV","AI","ะด","",""
"FCS0092","VF","2110FI110801","OTS","VxOTS","FI110801.PV","AI","ะด","",""
"FCS0092","VF","2110FI110803","OTS","VxOTS","FI110803.PV","AI","ะด","",""
"FCS0092","VF","2110FI110901","OTS","VxOTS","FI110901.PV","AI","ะด","",""
"FCS0092","VF","2110FI110903","OTS","VxOTS","FI110903.PV","AI","ะด","",""
"FCS0092","VF","2110FI111001","OTS","VxOTS","FI111001.PV","AI","ะด","",""
"FCS0092","VF","2110FI111002","OTS","VxOTS","FI111002.PV","AI","ะด","",""
"FCS0092","VF","2110FI111003","OTS","VxOTS","FI111003.PV","AI","ะด","",""
"FCS0092","VF","2110FI111004","OTS","VxOTS","FI111004.PV","AI","ะด","",""
"FCS0092","VF","2110FI111006","OTS","VxOTS","FI111006.PV","AI","ะด","",""
"FCS0092","VF","2110FI111101","OTS","VxOTS","FI111101.PV","AI","ะด","",""
"FCS0092","VF","2110FI111102","OTS","VxOTS","FI111102.PV","AI","ะด","",""
"FCS0092","VF","2110FI111103","OTS","VxOTS","FI111103.PV","AI","ะด","",""
"FCS0092","VF","2110FI111104","OTS","VxOTS","FI111104.PV","AI","ะด","",""
"FCS0092","VF","2110FI111105","OTS","VxOTS","FI111105.PV","AI","ะด","",""
"FCS0092","VF","2110FI111106","OTS","VxOTS","FI111106.PV","AI","ะด","",""
"FCS0092","VF","2110FI111201","OTS","VxOTS","FI111201.PV","AI","ะด","",""
"FCS0092","VF","2110FI111203","OTS","VxOTS","FI111203.PV","AI","ะด","",""
"FCS0092","VF","2110FI111204","OTS","VxOTS","FI111204.PV","AI","ะด","",""
"FCS0092","VF","2110FI111303","OTS","VxOTS","FI111303.PV","AI","ะด","",""
"FCS0092","VF","2110FI111304","OTS","VxOTS","FI111304.PV","AI","ะด","",""
"FCS0092","VF","2110FI111305","OTS","VxOTS","FI111305.PV","AI","ะด","",""
"FCS0092","VF","2110FI111306","OTS","VxOTS","FI111306.PV","AI","ะด","",""
"FCS0092","VF","2110FI111307","OTS","VxOTS","FI111307.PV","AI","ะด","",""
"FCS0092","VF","2110FI111501","OTS","VxOTS","FI111501.PV","AI","ะด","",""
"FCS0092","VF","2110FI160102","OTS","VxOTS","FI160102.PV","AI","ะด","",""
"FCS0092","VF","2110FI160103","OTS","VxOTS","FI160103.PV","AI","ะด","",""
"FCS0092","VF","2110FI160104","OTS","VxOTS","FI160104.PV","AI","ะด","",""
"FCS0092","VF","2110FI160901","OTS","VxOTS","FI160901.PV","AI","ะด","",""
"FCS0092","VF","2110FI170101","OTS","VxOTS","FI170101.PV","AI","ะด","",""
"FCS0092","VF","2110FI170104","OTS","VxOTS","FI170104.PV","AI","ะด","",""
"FCS0092","VF","2110FI170107","OTS","VxOTS","FI170107.PV","AI","ะด","",""
"FCS0092","VF","2110FI170108","OTS","VxOTS","FI170108.PV","AI","ะด","",""
"FCS0092","VF","2110FI170109","OTS","VxOTS","FI170109.PV","AI","ะด","",""
"FCS0092","VF","2110FI170202","OTS","VxOTS","FI170202.PV","AI","ะด","",""
"FCS0092","VF","2110FI170203A","OTS","VxOTS","FI170203A.PV","AI","ะด","",""
"FCS0092","VF","2110FI170301","OTS","VxOTS","FI170301.PV","AI","ะด","",""
"FCS0092","VF","2110FI170401","OTS","VxOTS","FI170401.PV","AI","ะด","",""
"FCS0092","VF","2110FI170402","OTS","VxOTS","FI170402.PV","AI","ะด","",""
"FCS0092","VF","2110FI170403","OTS","VxOTS","FI170403.PV","AI","ะด","",""
"FCS0092","VF","2110FI170404","OTS","VxOTS","FI170404.PV","AI","ะด","",""
"FCS0092","VF","2110FIP1101A01","OTS","VxOTS","FIP1101A01.PV","AI","ะด","",""
"FCS0092","VF","2110FIP1101A02","OTS","VxOTS","FIP1101A02.PV","AI","ะด","",""
"FCS0092","VF","2110FIP1101B01","OTS","VxOTS","FIP1101B01.PV","AI","ะด","",""
"FCS0092","VF","2110FIP1101B02","OTS","VxOTS","FIP1101B02.PV","AI","ะด","",""
"FCS0092","VF","2110FIP1701A","OTS","VxOTS","FIP1701A.PV","AI","ะด","",""
"FCS0092","VF","2110FIP1701B","OTS","VxOTS","FIP1701B.PV","AI","ะด","",""
"FCS0092","VF","2110LI110103","OTS","VxOTS","LI110103.PV","AI","ะด","",""
"FCS0092","VF","2110LI110106","OTS","VxOTS","LI110106.PV","AI","ะด","",""
"FCS0092","VF","2110LI110201","OTS","VxOTS","LI110201.PV","AI","ะด","",""
"FCS0092","VF","2110LI110301","OTS","VxOTS","LI110301.PV","AI","ะด","",""
